code,futu_code,name_zh,exchange_type,cur_price,market_cap_hkd,market_cap_yi,avg_turnover_20d,suspended,name_en,decision,reason
06082,HK.06082,壁仞科技,HK_MAINBOARD,47.8,116577436300.0,1165.8,6198242963.0,False,BIREN TECH,keep,WL_EN:TECH
03808,HK.03808,中国重汽,HK_MAINBOARD,41.26,113918585167.14,1139.2,12425236005.0,False,SINOTRUK,keep,no_match
01929,HK.01929,周大福,HK_MAINBOARD,11.44,112854966224.0,1128.5,3473706149.0,False,CHOW TAI FOOK,keep,no_match
02333,HK.02333,长城汽车,HK_MAINBOARD,13.17,112707177730.05,1127.1,4725598203.0,False,GWMOTOR,keep,no_match
01177,HK.01177,中国生物制药,HK_MAINBOARD,6.0,112472203380.0,1124.7,10148438216.0,False,SINO BIOPHARM,keep,WL_ZH:生物
00763,HK.00763,中兴通讯,HK_MAINBOARD,23.3,111456362867.1,1114.6,5828813462.0,False,ZTE,keep,no_match
09660,HK.09660,地平线机器人-W,HK_MAINBOARD,7.5,109789475887.5,1097.9,17142716049.0,False,HORIZONROBOT-W,keep,no_match
02097,HK.02097,蜜雪集团,HK_MAINBOARD,286.6,108798748080.0,1088.0,3349467294.0,False,MIXUE GROUP,keep,no_match
00914,HK.00914,海螺水泥,HK_MAINBOARD,20.2,107045912095.8,1070.5,3768164658.0,False,CONCH CEMENT,keep,no_match
02618,HK.02618,京东物流,HK_MAINBOARD,15.87,105892285721.64,1058.9,4302439497.0,False,JD LOGISTICS,keep,WL_ZH:京东
09903,HK.09903,天数智芯,HK_MAINBOARD,415.0,105541860440.0,1055.4,6819743299.0,False,ILUVATAR COREX,keep,no_match
03317,HK.03317,迅策,HK_MAINBOARD,325.4,105004757760.0,1050.0,30246013139.0,False,XUNCE,keep,no_match
01093,HK.01093,石药集团,HK_MAINBOARD,8.96,103241167518.72,1032.4,17559538903.0,False,CSPC PHARMA,keep,WL_EN:PHARMA
01208,HK.01208,五矿资源,HK_MAINBOARD,8.42,102223266102.72,1022.2,8089125416.0,False,MMG,keep,no_match
09696,HK.09696,天齐锂业,HK_MAINBOARD,58.6,99985956003.8,999.9,7022611718.0,False,TIANQI LITHIUM,keep,WL_ZH:锂
00390,HK.00390,中国中铁,HK_MAINBOARD,4.05,99979198812.45,999.8,2817217160.0,False,CHINA RAILWAY,keep,no_match
00501,HK.00501,豪威集团,HK_MAINBOARD,78.55,99063166209.65,990.6,1044117324.0,False,OMNIVISION,keep,no_match
01876,HK.01876,百威亚太,HK_MAINBOARD,7.4,98001137800.0,980.0,2410167979.0,False,BUD APAC,keep,no_match
00902,HK.00902,华能国际电力股份,HK_MAINBOARD,6.19,97171197892.21,971.7,5040903588.0,False,HUANENG POWER,keep,no_match
03908,HK.03908,中金公司,HK_MAINBOARD,19.82,95676231123.76,956.8,5876840982.0,False,CICC,keep,no_match
01308,HK.01308,海丰国际,HK_MAINBOARD,35.26,95201577444.16,952.0,4138247562.0,False,SITC,keep,no_match
06881,HK.06881,中国银河,HK_MAINBOARD,8.67,94801267559.52,948.0,3963473586.0,False,CGS,keep,no_match
01913,HK.01913,普拉达,HK_MAINBOARD,36.96,94574135040.0,945.7,1562385232.0,False,PRADA,keep,no_match
06823,HK.06823,香港电讯-SS,HK_MAINBOARD,12.46,94476684051.54,944.8,2394742456.0,False,HKT-SS,keep,no_match
01519,HK.01519,极兔速递-W,HK_MAINBOARD,10.5,93374856802.5,933.7,7386121104.0,False,,keep,no_match
06613,HK.06613,蓝思科技,HK_MAINBOARD,17.6,92905839312.0,929.1,4781364770.0,False,LENS,keep,WL_ZH:科技
00316,HK.00316,东方海外国际,HK_MAINBOARD,138.2,91263589645.4,912.6,3539046613.0,False,OOIL,keep,no_match
01888,HK.01888,建滔积层板,HK_MAINBOARD,28.26,88604284500.0,886.0,15487553890.0,False,KB LAMINATES,keep,no_match
01768,HK.01768,鸣鸣很忙,HK_MAINBOARD,406.4,88529281920.0,885.3,1279719012.0,False,BUSYMING,keep,no_match
00753,HK.00753,中国国航,HK_MAINBOARD,5.02,87591073420.0,875.9,4024265719.0,False,AIR CHINA,keep,no_match
00470,HK.00470,先导智能,HK_MAINBOARD,51.6,86389825994.4,863.9,1454605756.0,False,WUXI LEAD,keep,WL_ZH:智能
00670,HK.00670,中国东方航空股份,HK_MAINBOARD,3.88,85700418279.6,857.0,2857928858.0,False,CHINA EAST AIR,keep,no_match
06862,HK.06862,海底捞,HK_MAINBOARD,14.97,83442780000.0,834.4,7278054764.0,False,HAIDILAO,keep,no_match
00020,HK.00020,商汤-W,HK_MAINBOARD,2.01,81252316380.0,812.5,16050420553.0,False,SENSETIME-W,keep,no_match
09626,HK.09626,哔哩哔哩-W,HK_MAINBOARD,195.0,81241611165.0,812.4,14466691747.0,False,BILIBILI-W,keep,WL_ZH:哔哩哔哩
09863,HK.09863,零跑汽车,HK_MAINBOARD,56.95,80972230531.4,809.7,12826056030.0,False,LEAPMOTOR,keep,no_match
00966,HK.00966,中国太平,HK_MAINBOARD,22.2,79787211543.6,797.9,4943605484.0,False,CHINA TAIPING,keep,no_match
02268,HK.02268,药明合联,HK_MAINBOARD,60.35,76061715137.5,760.6,5958161175.0,False,WUXI XDC,keep,WL_ZH:药明
00241,HK.00241,阿里健康,HK_MAINBOARD,4.7,76023914535.5,760.2,8644222542.0,False,ALI HEALTH,keep,WL_EN:HEALTH
01055,HK.01055,中国南方航空股份,HK_MAINBOARD,4.16,75383219050.88,753.8,2383420270.0,False,CHINA SOUTH AIR,keep,no_match
01800,HK.01800,中国交通建设,HK_MAINBOARD,4.6,74863363435.0,748.6,1411964040.0,False,CHINA COMM CONS,keep,no_match
01989,HK.01989,广合科技,HK_MAINBOARD,158.3,74792789492.3,747.9,9839148109.0,False,DELTON,keep,WL_ZH:科技
01186,HK.01186,中国铁建,HK_MAINBOARD,5.46,74144296590.0,741.4,709128734.0,False,CHINA RAIL CONS,keep,no_match
