ticker,company_name,board_latest_price,matched_industry_boards,matched_concept_boards,industry_match_count,concept_match_count,candidate_sources,revenue,revenue_yoy,net_profit,net_profit_yoy,roe,operating_cashflow_ps,gross_margin,industry_name,notice_date,industry_gross_margin_median,is_mainland_a_share,name_ok,theme_match_ok,revenue_yoy_ok,gross_margin_ok,operating_cashflow_ok,prefilter_passed,latest_close,avg_turnover_20d,suspension_days_60,limit_like_days_120,price_ok,avg_turnover_ok,suspension_ok,limit_move_ok,history_passed,deduped_net_profit_yoy,asset_liability_ratio,abstract_report_date,rnd_ratio,deduped_net_profit_yoy_ok,asset_liability_ok,rnd_ratio_ok,final_passed,failure_reasons
300308,中际旭创,1056.0,通信网络设备及器件、通信设备,,2,0,industry_board、report_industry,19496398083.95,192.1169094233,5734501526.83,262.28,17.54,3.030796606962,46.0581330258,通信设备,2026-04-17,26.4444989384,True,True,True,True,True,True,True,,,,,True,True,True,True,True,264.5627377074043,32.636185,20260331,,True,True,True,True,
600641,先导基电,30.32,半导体、半导体材料,,2,0,industry_board、report_industry,535169140.32,178.168309632,-16902064.07,17.4936509098,-0.21,0.034337669447,18.498741839,半导体,2026-04-30,32.2948328539,True,True,True,True,True,True,True,,,,,True,True,True,True,True,347.95934801733586,31.229254,20260331,,True,True,True,True,
688290,景业智能,69.65,机器人、自动化设备,,2,0,industry_board、report_industry,57982435.04,169.2373144724,-7746821.04,28.75,-0.58,-0.539038523975,23.0214321816,自动化设备,2026-04-20,29.231632947549997,True,True,True,True,True,True,True,,,,,True,True,True,True,True,10.802867292720508,25.706766,20260331,,True,True,True,True,
688535,华海诚科,142.53,半导体、半导体材料,,2,0,industry_board、report_industry,222757165.09,165.5839765549,13527145.24,87.65,0.62,-0.243896427932,28.5784817536,半导体,2026-04-28,32.2948328539,True,True,True,True,True,True,True,,,,,True,True,True,True,True,101.24722042734456,28.608855,20260331,,True,True,True,True,
605289,罗曼股份,158.0,专业工程、其他专业工程,,2,0,industry_board、report_industry,384868981.62,113.4642937299,46529340.05,222.75,3.47,1.501076118249,29.4894663847,专业工程,2026-04-28,14.9336793198,True,True,True,True,True,True,True,,,,,True,True,True,True,True,221.9368722020153,50.47444,20260331,,True,True,True,True,
688630,芯碁微装,263.88,专用设备、其他专用设备,,2,0,industry_board、report_industry,514721784.95,112.4815452402,108392641.7,108.98,4.59,1.249134650521,40.9441747158,专用设备,2026-04-30,26.2122886368,True,True,True,True,True,True,True,,,,,True,True,True,True,True,104.34137886397616,29.114137,20260331,,True,True,True,True,
300502,新易盛,608.81,通信网络设备及器件、通信设备,,2,0,industry_board、report_industry,8337902040.74,105.759481459,2780222960.23,76.8,14.52,0.688194112089,49.1609551491,通信设备,2026-04-24,26.4444989384,True,True,True,True,True,True,True,,,,,True,True,True,True,True,76.44241010646698,31.034979,20260331,,True,True,True,True,
301200,大族数控,213.94,专用设备、其他专用设备,,2,0,industry_board、report_industry,1955152850.95,103.6938649546,322917809.55,176.53,3.74,-1.335246229214,33.1220107459,专用设备,2026-04-21,26.2122886368,True,True,True,True,True,True,True,,,,,True,True,True,True,True,197.9360700673271,29.538571,20260331,,True,True,True,True,
300590,移为通信,14.9,通信终端及配件、通信设备,,2,0,industry_board、report_industry,312463864.69,99.2691105608,51929933.23,430.64,2.79,-0.04734511231,40.8150361151,通信设备,2026-04-23,26.4444989384,True,True,True,True,True,True,True,,,,,True,True,True,True,True,604.052611711381,14.746295,20260331,,True,True,True,True,
688683,莱尔科技,43.53,电子化学品Ⅱ、电子化学品Ⅲ,,2,0,industry_board、report_industry,312943777.2,89.3833356959,13989622.71,31.28,1.17,0.057026017363,17.3676672744,电子化学品Ⅱ,2026-04-29,29.6474506561,True,True,True,True,True,True,True,,,,,True,True,True,True,True,56.734559643715585,35.531638,20260331,,True,True,True,True,
301326,捷邦科技,174.12,消费电子、消费电子零部件及组装,,2,0,industry_board、report_industry,308668296.8,86.3272130081,-14931258.27,-32.79,-1.2,0.107607341207,28.4689393796,消费电子,2026-04-29,19.0739920456,True,True,True,True,True,True,True,,,,,True,True,True,True,True,22.514862972906148,46.177489,20260331,,True,True,True,True,
002414,高德红外,13.78,军工电子Ⅱ、军工电子Ⅲ,,2,0,industry_board、report_industry,1245942950.66,83.0223888938,365901530.75,337.96,5.06,-0.025831353116,62.5699755071,军工电子Ⅱ,2026-04-21,32.853258762050004,True,True,True,True,True,True,True,,,,,True,True,True,True,True,430.6852896953581,34.469685,20260331,,True,True,True,True,
301563,云汉芯城,167.69,其他电子Ⅱ、其他电子Ⅲ,,2,0,industry_board、report_industry,1148806195.8,79.4576091025,51625345.41,152.0,4.16,-2.926557252762,15.4180616389,其他电子Ⅱ,2026-04-15,19.1533566637,True,True,True,True,True,True,True,,,,,True,True,True,True,True,181.77286032000285,41.101557,20260331,,True,True,True,True,
300615,欣天科技,14.83,通信终端及配件、通信设备,,2,0,industry_board、report_industry,142620732.28,79.3985731201,-33632114.88,-789.84,-6.89,-0.122845996206,19.8974832876,通信设备,2026-04-24,26.4444989384,True,True,True,True,True,True,True,,,,,True,True,True,True,True,642.8386921586172,48.834643,20260331,,True,True,True,True,
003031,中瓷电子,162.3,通信终端及配件、通信设备,,2,0,industry_board、report_industry,1099043302.94,79.0482462492,193303413.2,57.32,2.97,0.835784009297,30.5498263018,通信设备,2026-04-29,26.4444989384,True,True,True,True,True,True,True,,,,,True,True,True,True,True,66.9687017281076,21.857749,20260331,,True,True,True,True,
301042,安联锐视,98.84,计算机、计算机设备,,2,0,industry_board、report_industry,177305208.18,76.8583196774,11244708.61,62.5,1.05,-1.026667877926,29.9865571665,计算机设备,2026-04-29,32.1373908156,True,True,True,True,True,True,True,,,,,True,True,True,True,True,64.06184043311085,10.400969,20260331,,True,True,True,True,
688127,蓝特光学,95.36,光学元件、光学光电子,,2,0,industry_board、report_industry,451370564.97,76.5331069804,129548549.84,184.4,5.74,0.572280296981,46.5073571765,光学光电子,2026-04-30,18.0566157497,True,True,True,True,True,True,True,,,,,True,True,True,True,True,208.41618770553785,25.721222,20260331,,True,True,True,True,
301338,凯格精机,191.02,专用设备、其他专用设备,,2,0,industry_board、report_industry,339654129.97,72.8006823723,64978454.48,95.66,3.9,0.012405059023,40.0984497088,专用设备,2026-04-28,26.2122886368,True,True,True,True,True,True,True,,,,,True,True,True,True,True,99.64936314115225,39.871773,20260331,,True,True,True,True,
688002,睿创微纳,134.41,军工电子Ⅱ、军工电子Ⅲ,,2,0,industry_board、report_industry,1944857599.91,71.124107037,478742205.72,228.31,6.85,2.0122907951,53.4040889862,军工电子Ⅱ,2026-04-28,32.853258762050004,True,True,True,True,True,True,True,,,,,True,True,True,True,True,253.59951424530936,36.072193,20260331,,True,True,True,True,
300650,太龙股份,16.38,其他电子Ⅱ、其他电子Ⅲ,,2,0,industry_board、report_industry,973472498.53,70.4295124574,7677947.98,19.45,0.61,-0.924438870006,5.0857296847,其他电子Ⅱ,2026-04-28,19.1533566637,True,True,True,True,True,True,True,,,,,True,True,True,True,True,30.116849107334232,39.243203,20260331,,True,True,True,True,
300971,博亚精工,25.05,专用设备、其他专用设备,,2,0,industry_board、report_industry,119007861.29,70.3232547822,12208338.97,641.92,1.13,0.064028428827,39.6102167697,专用设备,2026-04-23,26.2122886368,True,True,True,True,True,True,True,,,,,True,True,True,True,True,676.0745091930299,29.554253,20260331,,True,True,True,True,
688522,纳睿雷达,33.65,军工电子Ⅱ、军工电子Ⅲ,,2,0,industry_board、report_industry,98916574.19,69.9878149521,26415456.47,21.92,1.14,-0.284465803804,71.2315581559,军工电子Ⅱ,2026-04-18,32.853258762050004,True,True,True,True,True,True,True,,,,,True,True,True,True,True,25.12630092098029,12.744676,20260331,,True,True,True,True,
301213,观想科技,73.15,军工电子Ⅱ、军工电子Ⅲ,,2,0,industry_board、report_industry,29428501.63,69.7401062677,6985189.37,515.7,0.87,0.208077886351,68.5974701118,军工电子Ⅱ,2026-04-27,32.853258762050004,True,True,True,True,True,True,True,,,,,True,True,True,True,True,602.4297104796923,16.259599,20260331,,True,True,True,True,
