code,name_en,name_zh,close_price,turnover_hkd,suspended
00001,CKH HOLDINGS,長和,59.05,347052319.0,False
00002,CLP HOLDINGS,中電控股,73.0,209398887.0,False
00004,WHARF HOLDINGS,九龍倉集團,21.86,79420254.0,False
00005,HSBC HOLDINGS,匯豐控股,123.6,2196631394.0,False
00006,POWER ASSETS,電能實業,61.35,171573209.0,False
00007,WISDOM WEALTH,智富資源投資,,,True
00008,PCCW,電訊盈科,5.75,44069308.0,False
00013,HUTCHMED,和黃醫藥,22.96,207344877.0,False
00014,HYSAN DEV,希慎興業,18.44,46131213.0,False
00016,SHK PPT,新鴻基地產,128.1,707910199.0,False
00017,NEW WORLD DEV,新世界發展,8.05,70624121.0,False
00018,ORIENTAL M G,東方傳媒集團,0.275,86720.0,False
00019,SWIRE PACIFIC A,太古股份公司Ａ,85.3,71416692.0,False
00020,SENSETIME-W,商湯－Ｗ,1.86,694450820.0,False
00021,GREAT CHI HLDGS,大中華控股,0.066,24120.0,False
00022,MEXAN,茂盛控股,0.255,1491560.0,False
00023,BANK OF E ASIA,東亞銀行,13.23,13113830.0,False
00025,CHEVALIER INT'L,,4.17,,False
00026,CHINA MOTOR BUS,中華汽車,56.4,252679.0,False
00027,GALAXY ENT,銀河娛樂,34.64,384036590.0,False
00028,TIAN AN,天安,4.25,178970.0,False
00029,DYNAMIC HOLD,達力集團,10.81,237580.0,False
00030,YNBY INTL,雲白國際,0.28,335120.0,False
00031,CHINA AEROSPACE,航天控股,0.465,2010880.0,False
00032,CROSS-HAR(HOLD),港通控股,8.45,16900.0,False
00033,INTL GENIUS,,,,True
00034,KOWLOON DEV,九龍建業,4.34,498250.0,False
00035,FE CONSORT INTL,遠東發展,0.79,188410.0,False
00036,FE HLDGS INTL,遠東控股國際,,,True
00037,FE HOTELS,遠東酒店實業,0.53,,False
00038,FIRST TRACTOR,第一拖拉機股份,8.41,44912220.0,False
00039,CH BEIDAHUANG,中國北大荒,0.046,3345240.0,False
00040,GOLD PEAK,金山科技工業,0.67,30680.0,False
00041,GREAT EAGLE H,鷹君,16.42,3389574.0,False
00042,NE ELECTRIC,東北電氣,0.43,202020.0,False
00048,C AUTO INT DECO,中國汽車內飾,0.25,35200.0,False
00050,HK FERRY (HOLD),香港小輪（集團）,5.05,202290.0,False
00051,HARBOUR CENTRE,海港企業,4.5,50100.0,False
00052,FAIRWOOD HOLD,大快活集團,4.18,763255.0,False
00053,GUOCO GROUP,國浩集團,68.2,203500.0,False
00055,NEWAY GROUP,中星集團控股,0.154,10200.0,False
00057,CHEN HSONG HOLD,震雄集團,1.6,105600.0,False
00058,SUNWAY INT'L,新威國際,0.345,13400.0,False
00059,SKYFAME REALTY,天譽置業,,,True
00060,HK FOOD INV,香港食品投資,0.54,,False
00061,GREEN LEADER,綠領控股,0.075,18027.0,False
00062,TRANSPORT INT'L,載通,10.66,1294784.0,False
00063,CHI ASIA VALLEY,中亞烯谷集團,0.047,,False
00064,GET NICE,結好控股,3.1,335243.0,False
00065,GRAND OCEAN AR,弘海高新資源,0.305,11000.0,False
00066,MTR CORPORATION,港鐵公司,32.12,220538849.0,False
00069,SHANGRI-LA ASIA,香格里拉（亞洲）,4.42,4930736.0,False
00070,RICH GOLDMAN,金粵控股,0.05,,False
00071,MIRAMAR HOTEL,美麗華酒店,10.61,586150.0,False
00072,META MEDIA,超媒體控股,0.25,,False
00073,ASIAN CITRUS,亞洲果業,1.8,,False
00075,Y.T. REALTY,渝太地產,0.142,,False
00076,ELATE HOLDINGS,誼礫控股,0.17,154315.0,False
00077,AMS TRANSPORT,進智公共交通,0.42,339680.0,False
00078,REGAL INT'L,,0.5,36980.0,False
00079,CENTURY LEGEND,世紀建業,0.083,688.0,False
00080,CAI CORP,ＣＡＩ控股,0.405,4124200.0,False
00081,CH OVS G OCEANS,中國海外宏洋集團,2.42,24775570.0,False
00082,CRAZY SPORTS,瘋狂體育,0.078,332788.0,False
00083,SINO LAND,信和置業,11.45,96114259.0,False
00084,STELUX HOLDINGS,寶光實業,0.07,,False
00085,CE HUADA TECH,中電華大科技,1.17,816547.0,False
00086,SUN HUNG KAI CO,新鴻基公司,4.21,1548370.0,False
00087,SWIRE PACIFIC B,太古股份公司Ｂ,12.82,22043900.0,False
00088,TAI CHEUNG HOLD,,3.89,676515.0,False
00089,TAI SANG LAND,大生地產,2.18,87150.0,False
00090,PUXING ENERGY,普星能量,0.96,115100.0,False
00092,CHAMPION TECH,冠軍科技集團,0.208,24960.0,False
00093,ZERO FINTECH,零在科技金融,0.45,9520.0,False
00094,GREENHEART GP,綠心集團,0.078,24400.0,False
00095,LVGEM CHINA,綠景中國地產,0.233,773748.0,False
00096,YUSEI,,0.54,,False
00098,XINGFA ALUM,興發鋁業,7.56,105050.0,False
00099,WONG'S INT'L,王氏國際,1.33,,False
00100,MINIMAX-W,,1014.0,995135955.0,False
00103,SHOUGANG CENT,首佳科技,2.25,,False
00104,ASIA COMM HOLD,,0.217,45085.0,False
